,bat_order,player_id,player_name,how_out,minutes,runs,balls,fours,sixes,strike_rate,overs,maidens,runs_conceded,wickets,economy,dot_balls,extras,match_id,series_id,home,innings_no,innings_title
0,1.0,908547,Tony Ura, b Bilal Khan,4,0.0,5.0,0.0,0.0,0.00,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
1,2.0,1322982,Lega Siaka, b Kaleemullah,4,0.0,3.0,0.0,0.0,0.00,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
2,3.0,75180,Assad Vala,c Jatinder Singh b Kaleemullah,65,56.0,43.0,4.0,3.0,130.23,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
3,4.0,998952,Charles Amini,run out (Mohammad Nadeem),47,37.0,26.0,4.0,1.0,142.30,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
4,5.0,1261293,Sese Bau,c Jatinder Singh b Zeeshan Maqsood,24,13.0,13.0,2.0,0.0,100.00,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
5,6.0,1572771,Norman Vanua, b Zeeshan Maqsood,6,1.0,2.0,0.0,0.0,50.00,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
6,7.0,3345111,Simon Atai,c Ayaan Khan b Bilal Khan,11,3.0,5.0,0.0,0.0,60.00,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
7,8.0,1938531,Kiplin Doriga,c Sandeep Goud b Zeeshan Maqsood,3,0.0,2.0,0.0,0.0,0.00,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
8,9.0,3367683,Damien Ravu,c Mohammad Nadeem b Zeeshan Maqsood,9,1.0,4.0,0.0,0.0,25.00,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
9,10.0,1572777,Kabua Morea,not out,11,6.0,7.0,0.0,0.0,85.71,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
10,11.0,1938555,Nosaina Pokana,not out,9,5.0,10.0,0.0,0.0,50.00,,,,,,,,2547437,894,Oman,1,Papua New Guinea Innings
0,,2813871,Bilal Khan,,,,,2.0,0.0,,4,1.0,16.0,2.0,4.00,15.0,0,2547437,894,Oman,1,Papua New Guinea Innings
1,,3231933,Kaleemullah,,,,,4.0,0.0,,3,0.0,19.0,2.0,6.33,11.0,0,2547437,894,Oman,1,Papua New Guinea Innings
2,,2821791,Aqib Ilyas,,,,,1.0,1.0,,4,0.0,28.0,0.0,7.00,6.0,0,2547437,894,Oman,1,Papua New Guinea Innings
3,,125964,Mohammad Nadeem,,,,,2.0,1.0,,3,0.0,23.0,0.0,7.66,8.0,0,2547437,894,Oman,1,Papua New Guinea Innings
4,,1755255,Khawar Ali,,,,,0.0,1.0,,2,0.0,17.0,0.0,8.50,1.0,0,2547437,894,Oman,1,Papua New Guinea Innings
