,bat_order,player_id,player_name,how_out,minutes,runs,balls,fours,sixes,strike_rate,player,overs,maidens,runs_conceded,wickets,economy,dot_balls,extras,match_id,series_id,home_x,innings_no,innings_title,in_play,result,status,toss,home_scores,away_scores,home_y,away,venue,tournament,date,ipl_season
0,1.0,1817052.0,Janneman Malan,lbw b Mohammad Nawaz,19,24.0,16.0,2.0,2.0,150.00,,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
1,2.0,1801506.0,Aiden Markram,c Mohammad Rizwan b Mohammad Nawaz,46,51.0,32.0,8.0,1.0,159.37,,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
2,3.0,1289670.0,Wihan Lubbe,c Shaheen Shah Afridi b Hasan Ali,5,4.0,3.0,1.0,0.0,133.33,,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
3,4.0,1310283.0,Heinrich Klaasen,c Fakhar Zaman b Hasan Ali,55,50.0,28.0,2.0,4.0,178.57,,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
4,5.0,798816.0,Pite van Biljon,c Mohammad Nawaz b Shaheen Shah Afridi,40,34.0,24.0,0.0,2.0,141.66,,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
5,6.0,1445637.0,George Linde,lbw b Haris Rauf,13,6.0,7.0,0.0,0.0,85.71,,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
6,7.0,1620960.0,Andile Phehlukwayo,not out,10,9.0,5.0,1.0,0.0,180.00,,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
7,8.0,1139340.0,Sisanda Magala,not out,5,9.0,5.0,0.0,1.0,180.00,,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
8,,,,,,,,,,,batter,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
9,,1139793.0,Beuran Hendricks,,,,,,,,,,,,,,,,2503163,801,South Africa,1,South Africa Innings,No,Yes,Pakistan won by 4 wickets,"South Africa, elected to bat first",188/6,"189/6 (19.5/20 ov, target 189)",South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",T20_INT,2021-04-10,
